全部事件日志消息。
日期:	2000-05-19 00:09:15
系统名称：	120-500794
控制器名称：	192.168.0.5
控制器 ID
	120-500794

RobotWare:	5.15.2005
密码:	rXXXYgp73IH1XXXXbXXX1rXXXU#wCGgPNDArV6
选项:	
	RW Control module key
	RobotWare OS and English
	644-5 Chinese
	748-1 DeviceNet Lean
	608-1 World Zones
	616-1 PC Interface
	623-1 Multitasking

DriveModule1
密码:	tGcQeQ-3jhlb
选项:	
	RW Drive module 1 key
	ABB standard manipulator
		IRB 120
			120-0.58/3
			Drive System 09 120/140/1400/1600/260 Compact
				1-Phase Power Supply
					No additional drive



公用 个日志消息
SeqNo     	类型  	类别                  	代码      	标题                                      	日期                  	说明	自变量
248308    	I   	操作                  	10016   	已请求自动模式                                 	2000-05-19 00:09:01 	已向系统发送指令，准备进入自动模式。	{args: }
248309    	I   	操作                  	10010   	电机下电 (OFF) 状态                           	2000-05-19 00:09:01 	系统处于电机下电 (OFF) 状态。从手动模式切换至自动模式，或者程序执行过程中电机上电 (ON) 电路被打开后，系统就会进入此状态。	{args: }
248310    	I   	操作                  	10017   	已确认自动模式                                 	2000-05-19 00:09:03 	系统处于自动模式。	{args: }

操作 个日志消息
SeqNo     	类型  	类别                  	代码      	标题                                      	日期                  	说明	自变量
248282    	I   	操作                  	10011   	电机上电(ON) 状态                             	2000-05-19 00:03:14 	系统处于电机上电 (ON) 状态。	{args: }
248284    	I   	操作                  	10012   	安全防护停止状态                                	2000-05-19 00:03:17 	系统处于防护停止状态。从自动方式切换为手动方式，或者由于出现紧急停止、常规停止、自动停止或上级停止而导致的电机开启电路被断开后，均会进入此状态。	{args: }
248285    	I   	操作                  	10010   	电机下电 (OFF) 状态                           	2000-05-19 00:03:17 	系统处于电机下电 (OFF) 状态。从手动模式切换至自动模式，或者程序执行过程中电机上电 (ON) 电路被打开后，系统就会进入此状态。	{args: }
248289    	I   	操作                  	10011   	电机上电(ON) 状态                             	2000-05-19 00:03:49 	系统处于电机上电 (ON) 状态。	{args: }
248293    	I   	操作                  	10002   	程序指针已经复位                                	2000-05-19 00:04:30 	任务 T_ROB1 的程序指针已经复位。	{args: "1", "0", "T_ROB1"}
248295    	I   	操作                  	10015   	已选择手动模式                                 	2000-05-19 00:04:48 	系统处于手动模式。	{args: }
248296    	I   	操作                  	10012   	安全防护停止状态                                	2000-05-19 00:04:48 	系统处于防护停止状态。从自动方式切换为手动方式，或者由于出现紧急停止、常规停止、自动停止或上级停止而导致的电机开启电路被断开后，均会进入此状态。	{args: }
248297    	I   	操作                  	10016   	已请求自动模式                                 	2000-05-19 00:04:50 	已向系统发送指令，准备进入自动模式。	{args: }
248298    	I   	操作                  	10010   	电机下电 (OFF) 状态                           	2000-05-19 00:04:50 	系统处于电机下电 (OFF) 状态。从手动模式切换至自动模式，或者程序执行过程中电机上电 (ON) 电路被打开后，系统就会进入此状态。	{args: }
248299    	I   	操作                  	10015   	已选择手动模式                                 	2000-05-19 00:04:55 	系统处于手动模式。	{args: }
248300    	I   	操作                  	10012   	安全防护停止状态                                	2000-05-19 00:04:55 	系统处于防护停止状态。从自动方式切换为手动方式，或者由于出现紧急停止、常规停止、自动停止或上级停止而导致的电机开启电路被断开后，均会进入此状态。	{args: }
248301    	I   	操作                  	10016   	已请求自动模式                                 	2000-05-19 00:06:54 	已向系统发送指令，准备进入自动模式。	{args: }
